POSTNUMMER,OFFICE NAME,DEP NAME,FIRMA_ID,OFFICE_id
6007,Ålesund,Aursnes P,3000049,3000081
6014,Ålesund,Aursnes P,3000049,3000081
6017,Ålesund,Aursnes P,3000049,3000081
6015,Ålesund,Aursnes P,3000049,3000081
6018,Ålesund,Aursnes P,3000049,3000081
6092,Ålesund,Aursnes P,3000049,3000081
6016,Ålesund,Aursnes P,3000049,3000081
6094,Ålesund,Aursnes P,3000049,3000081
6095,Ålesund,Aursnes P,3000049,3000081
6050,Ålesund,Aursnes P,3000049,3000081
6055,Ålesund,Aursnes P,3000049,3000081
6091,Ålesund,Aursnes P,3000049,3000081
6230,Ålesund,Aursnes P,3000049,3000081
6160,Ålesund,Aursnes P,3000049,3000081
6154,Ålesund,Aursnes P,3000049,3000081
6156,Ålesund,Aursnes P,3000049,3000081
6150,Ålesund,Aursnes P,3000049,3000081
6100,Ålesund,Aursnes P,3000049,3000081
6104,Ålesund,Aursnes P,3000049,3000081
6120,Ålesund,Aursnes P,3000049,3000081
6105,Ålesund,Aursnes P,3000049,3000081
6106,Ålesund,Aursnes P,3000049,3000081
6153,Ålesund,Aursnes P,3000049,3000081
6155,Ålesund,Aursnes P,3000049,3000081
6170,Ålesund,Aursnes P,3000049,3000081
6152,Ålesund,Aursnes P,3000049,3000081
6102,Ålesund,Aursnes P,3000049,3000081
6103,Ålesund,Aursnes P,3000049,3000081
6011,Ålesund,Aursnes P,3000049,3000081
6010,Ålesund,Aursnes P,3000049,3000081
6020,Ålesund,Aursnes P,3000049,3000081
6200,Sykkylven,Aursnes P,18,21
6210,Sykkylven,Aursnes P,18,21
6212,Sykkylven,Aursnes P,18,21
6213,Sykkylven,Aursnes P,18,21
6214,Sykkylven,Aursnes P,18,21
6215,Sykkylven,Aursnes P,18,21
6216,Sykkylven,Aursnes P,18,21
6218,Sykkylven,Aursnes P,18,21
6220,Sykkylven,Aursnes P,18,21
6222,Sykkylven,Aursnes P,18,21
6224,Sykkylven,Aursnes P,18,21
6230,Sykkylven,Aursnes P,18,21
6240,Sykkylven,Aursnes P,18,21
6250,Sykkylven,Aursnes P,18,21
,,,,
3017,Drammen,Meglerhuset,8,11
3043,Drammen,Meglerhuset,8,11
3055,Drammen,Meglerhuset,8,11
3442,Drammen,Meglerhuset,8,11
3480,Drammen,Meglerhuset,8,11
3095,Drammen,Meglerhuset,8,11
